"Sample","Region","Years","Gene","Expression"
"HSB92_A1C_R","A1C",0.4038,"ACE2",0.292251835525513
"HSB96_A1C_L","A1C",0.3077,"ACE2",1.19603597227009
"HSB96_A1C_R","A1C",0.3077,"ACE2",-1.01429603229108
"HSB97_A1C_L","A1C",0.3269,"ACE2",1.45052477045858
"HSB97_A1C_R","A1C",0.3269,"ACE2",-0.507018571063617
"HSB98_A1C_L","A1C",0.3654,"ACE2",-0.303255619362891
"HSB98_A1C_R","A1C",0.3654,"ACE2",-0.4472219220047
"HSB99_A1C_L","A1C",0.4038,"ACE2",-1.57500345299982
"HSB99_A1C_R","A1C",0.4038,"ACE2",0.404327688795191
"HSB100_A1C_L","A1C",0.3654,"ACE2",-0.158701279619545
"HSB100_A1C_R","A1C",0.3654,"ACE2",-1.09754399370043
"HSB102_A1C_L","A1C",0.4038,"ACE2",0.236062166383209
"HSB102_A1C_R","A1C",0.4038,"ACE2",0.408397266705148
"HSB103_A1C_L","A1C",0.25,"ACE2",1.64628861922996
"HSB103_A1C_R","A1C",0.25,"ACE2",0.0760466398340948
"HSB105_A1C_L","A1C",18.7692307692308,"ACE2",1.87665258654793
"HSB105_A1C_R","A1C",18.7692307692308,"ACE2",2.50545810103061
"HSB106_A1C_L","A1C",64.7692307692308,"ACE2",0.265912101413525
"HSB106_A1C_R","A1C",64.7692307692308,"ACE2",0.136608512492111
"HSB107_A1C_L","A1C",0.4038,"ACE2",0.0241244352164607
"HSB107_A1C_R","A1C",0.4038,"ACE2",1.14835812315799
"HSB111_A1C_L","A1C",70.7692307692308,"ACE2",-1.28973602015959
"HSB111_A1C_R","A1C",70.7692307692308,"ACE2",1.45433923861341
"HSB113_A1C_L","A1C",0.2308,"ACE2",1.67512143204863
"HSB113_A1C_R","A1C",0.2308,"ACE2",0.0740511475940767
"HSB114_A1C_L","A1C",0.25,"ACE2",-1.28455217886505
"HSB114_A1C_R","A1C",0.25,"ACE2",0.407998333792003
"HSB118_A1C_R","A1C",4.76923076923077,"ACE2",0.445256034836972
"HSB119_A1C_L","A1C",15.7692307692308,"ACE2",0.335748983039275
"HSB121_A1C_L","A1C",1.10253076923077,"ACE2",0.80948655735304
"HSB121_A1C_R","A1C",1.10253076923077,"ACE2",-0.00621686960447355
"HSB122_A1C_L","A1C",1.76923076923077,"ACE2",0.0664334320081489
"HSB122_A1C_R","A1C",1.76923076923077,"ACE2",-0.138674593828485
"HSB123_A1C_L","A1C",37.7692307692308,"ACE2",0.64139858951179
"HSB123_A1C_R","A1C",37.7692307692308,"ACE2",-0.918477467057289
"HSB124_A1C_L","A1C",13.7692307692308,"ACE2",-1.09802568531256
"HSB124_A1C_R","A1C",13.7692307692308,"ACE2",-0.57110585580313
"HSB125_A1C_L","A1C",28.7692307692308,"ACE2",-0.708125168821899
"HSB125_A1C_R","A1C",28.7692307692308,"ACE2",-0.951077120738412
"HSB126_A1C_R","A1C",30.7692307692308,"ACE2",-0.796639271625963
"HSB127_A1C_L","A1C",19.7692307692308,"ACE2",-1.22989089005732
"HSB130_A1C_L","A1C",21.7692307692308,"ACE2",-0.725190143942832
"HSB131_A1C_L","A1C",1.26923076923077,"ACE2",1.05982174386437
"HSB132_A1C_L","A1C",1.10253076923077,"ACE2",0.238078067836133
"HSB132_A1C_R","A1C",1.10253076923077,"ACE2",-1.21179967453466
"HSB135_A1C_L","A1C",40.7692307692308,"ACE2",0.313292752488955
"HSB135_A1C_R","A1C",40.7692307692308,"ACE2",0.834761374516919
"HSB136_A1C_L","A1C",23.7692307692308,"ACE2",-0.208856132261645
"HSB136_A1C_R","A1C",23.7692307692308,"ACE2",-0.434734300115455
"HSB139_A1C_L","A1C",1.10253076923077,"ACE2",-0.970008148091117
"HSB141_A1C_L","A1C",8.76923076923077,"ACE2",0.574413075411965
"HSB142_A1C_L","A1C",22.7692307692308,"ACE2",-0.00965532701402838
"HSB142_A1C_R","A1C",22.7692307692308,"ACE2",-0.895541094863089
"HSB143_A1C_L","A1C",2.76923076923077,"ACE2",-0.283548733820154
"HSB143_A1C_R","A1C",2.76923076923077,"ACE2",-1.11655981885674
